epoch,train_loss,val_loss,val_acc,lr
1,1.660884778272538,1.795129775094442,0.36607142857142855,0.001
2,1.2476909173102606,1.8459404022521393,0.3100744047619048,0.001
3,1.132404319274993,2.9836926750357162,0.2909077380952381,0.001
4,1.0804541649704889,1.5290448715478295,0.46742559523809524,0.001
5,1.0542613879271916,3.2992496943745775,0.3108779761904762,0.001
6,1.0350118352685655,1.2308522249809235,0.5129017857142857,0.001
7,1.0268550569102877,4.67624004530816,0.2592857142857143,0.001
8,1.0182327609970456,3.893620117535609,0.27767857142857144,0.001
9,1.001872056211744,2.1946343736503513,0.3465922619047619,0.001
10,0.9601472530074899,6.0574006889805645,0.1809077380952381,0.001
11,0.957009558668608,2.059425615903103,0.45504464285714286,0.001
12,0.9543326218318576,1.1560583385554226,0.5506994047619047,0.001
13,0.95078376060203,2.85653061577768,0.37148809523809523,0.001
14,0.9479378001771499,5.592793681404808,0.21465773809523808,0.001
15,0.9455717489293319,4.553242791782726,0.26863095238095236,0.001
16,0.9418354283720821,7.059347369454124,0.2419940476190476,0.001
17,0.938735925426048,1.182533247904344,0.5397321428571429,0.001
18,0.9349013804936137,2.6257038008083,0.3009672619047619,0.001
19,0.9310356827289886,1.2734010671124314,0.5189880952380952,0.001
20,0.9282807138936148,7.027972243048928,0.19663690476190476,0.001
21,0.9229801192936335,3.3823292038657446,0.3098660714285714,0.001
22,0.9200853762064597,4.531811894792499,0.3195089285714286,0.001
23,0.9139976567188597,8.103818120378437,0.2969345238095238,0.0001
24,0.886969754451128,1.107356927611611,0.5782291666666667,0.0001
25,0.8781009092077103,1.1233625610669453,0.5751785714285714,0.0001
26,0.8736656809034457,1.0403966416012158,0.5928571428571429,0.0001
27,0.8704716726401006,1.045045784928582,0.5904166666666667,0.0001
28,0.8683629418960542,1.0818922971234177,0.5858333333333333,0.0001
